uri,name,dynasty,ocre,AV,AR,AE,worn,notes,year
http://nomisma.org/id/julius_caesar,Julius Caesar,Julio-Claudian,http://numismatics.org/ocre/results?q=portrait_facet:%22Julius Caesar%22,http://ww2.smb.museum/mk_edit/images/n6/6967/rs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n7/7965/rs_opt.jpg,,http://numismatics.org/collectionimages/19501999/1951/1951.61.29.obv.width350.jpg,"Portrait of Julius Caesar is on Rev. (AV, AR)",17 BC/98 AD- 117 AD
http://nomisma.org/id/julia_daughter_of_augustus,Julia the Elder,Julio-Claudian,http://numismatics.org/ocre/results?q=portrait_facet:%22Julia the Elder%22,,http://ww2.smb.museum/mk_edit/images/n2/2562/rs_opt.jpg,,,Portrait of Julia the Elder on Rev. (AR),13 BC- 4 AD
http://nomisma.org/id/augustus,Augustus,Julio-Claudian,http://numismatics.org/ocre/results?q=portrait_facet:%22Augustus%22,http://ww2.smb.museum/mk_edit/images/n6/6978/vs_opt.jpg|http://numismatics.org/collectionimages/19501999/1967/1967.153.106.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1937/1937.158.453.obv.width350.jpg|http://ww2.smb.museum/mk_edit/images/n7/7692/vs_opt.jpg|http://numismatics.org/collectionimages/19501999/1954/1954.203.149.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39016.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.4.91.obv.width350.jpg,,27 BC- 14 AD
http://nomisma.org/id/agrippa,Agrippa,Julio-Claudian,http://numismatics.org/ocre/results?q=portrait_facet:%22Agrippa%22,,http://ww2.smb.museum/mk_edit/images/n7/7326/rs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n4/4567/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n10/10853/vs_opt.jpg,"Portrait of Agrippa is on Rev. (AV, AR)",20 BC- 82 AD
http://nomisma.org/id/livia,Livia,Julio-Claudian,http://numismatics.org/ocre/results?q=portrait_facet:%22Livia%22,,,http://numismatics.org/collectionimages/19501999/1951/1951.61.50.obv.width350.jpg|http://numismatics.org/collectionimages/19001949/1944/1944.100.41827.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n29/29123/vs_opt.jpg,"Portrait of Livia on Rev. (AV, AR)",68 AD- 69 AD/80 AD-81 AD/98 AD- 117AD
http://nomisma.org/id/nero_claudius_drusus,Drusus the Elder (Nero Claudius Drusus),Julio-Claudian,http://numismatics.org/ocre/results?q=portrait_facet:%22Drusus the Elder%22,http://numismatics.org/collectionimages/19501999/1967/1967.153.202.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n11/11051/vs_opt.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.19.1053.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1953/1953.171.1134.obv.width350.jpg,,37 AD- 81 AD
http://nomisma.org/id/gaius_caesar,Gaius Caesar,Julio-Claudian,http://numismatics.org/ocre/results?q=portrait_facet:%22Gaius Caesar%22,,http://ww2.smb.museum/mk_edit/images/n2/2562/rs_opt.jpg,,,Portrait examples on Rev. (AR),13 BC- 4 AD
http://nomisma.org/id/lucius_caesar,Lucius Caesar,Julio-Claudian,http://numismatics.org/ocre/results?q=portrait_facet:%22Lucius Caesar%22,,http://ww2.smb.museum/mk_edit/images/n2/2562/rs_opt.jpg,,,"Portrait of Lucius Caesar on Rev. (AV, AR)",13 BC- 4 AD
http://nomisma.org/id/tiberius,Tiberius,Julio-Claudian,http://numismatics.org/ocre/results?q=portrait_facet:%22Tiberius%22,http://ww2.smb.museum/mk_edit/images/n2/2674/vs_opt.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39246.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n11/11923/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n28/28971/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n15/15375/vs_opt.jpg,,8 AD- 37 AD/80 AD- 81 AD/98 AD- 117 AD
http://nomisma.org/id/antonia_minor,Antonia Minor ,Julio-Claudian,http://numismatics.org/ocre/results?q=portrait_facet:%22Antonia Minor%22,http://numismatics.org/collectionimages/19501999/1956/1956.184.19.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n11/11184/vs_opt.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39323.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n11/11231/vs_opt.jpg,,41 AD- 54 AD
